Title,Summary,Genre,Feature
중독의 게임: 왕좌의 연대기,"스크린의 단골 소재로 등장하는 마약. 에스코바르를 무너뜨린 페냐, 머피 요원, 할렘의 헤로인 왕 프랭크 루카스 본인 등 실존 인물 인터뷰로 중독의 제국을 집중 조명한다.",실제 범죄 다큐멘터리 미국 TV 프로그램 다큐시리즈,스캔들 도발 수사
작은 존재들,"광활한 미국, 지금껏 보지 못한 세계가 모습을 드러낸다. 저마다의 전략으로 삶을 영위하는 작은 동물들. 그 위대하고 극적인 생존기를 담아낸 자연 다큐멘터리 시리즈.",다큐멘터리 여행   어드벤처 과학   자연 다큐멘터리 다큐멘터리 자연   생태 가족이 함께 보기 좋은 TV 과학   자연 TV 프로그램 미국 TV 프로그램 TV 프로그램 액션   어드벤처 다큐시리즈,흥미진진
우주의 전사 쉬라,"호르드 병사였던 고아, 아도라. 마법의 검을 발견한 그녀는 전설적인 영웅, 쉬라로 거듭난다. 이제 에더리아를 지키기 위해, 그녀는 독립군이 되어 악당 호르드에 맞선다.",TV 프로그램 판타지 TV 프로그램 키즈 가족이 함께 보기 좋은 TV TV 프로그램 액션   어드벤처 TV 만화,위트 흥미진진
말리부 주니어 구조대: 더 시리즈,"주니어 구조대 훈련을 통과한 밸리 아이들. 우리의 도다리 팀이 말리부 해변을 지키러 돌아온다! 이제 그들을 믿고 여름을 시원하게 즐겨보자. 뭐, 어쨌든 구조대니까?",TV 프로그램 키즈 가족이 함께 보기 좋은 TV TV 프로그램 코미디 TV 프로그램 액션   어드벤처,푼수 캐릭터 흥미진진
3 언더: 아카디아의 전설,"위험한 고향 별을 떠나 지구에 불시착한 청소년 왕족 남매. 사람들과 어울리랴, 현상금 사냥꾼을 피하랴 정신없이 바쁘다. 평범한 인간인 척하는 게 쉬운 일이 아니랍니다.",TV 프로그램 키즈 가족이 함께 보기 좋은 TV TV 프로그램 액션   어드벤처 TV 만화,푼수 캐릭터 흥미진진
드래곤 프린스,다시 인간과 엘프 간의 전쟁이 시작된다. 놀라운 비밀을 알게 된 두 명의 인간 왕자와 엘프 자객. 두 왕국의 숨겨진 진실을 밝히자! 한뜻이 된 그들은 함께 모험을 떠난다.,TV 프로그램 판타지 TV 프로그램 키즈 가족이 함께 보기 좋은 TV TV 프로그램 액션   어드벤처 TV 만화,흥미진진
오행자객,"평범한 요리사로 살고 싶었으나, 세계를 구할 영웅으로 선택받은 남자. 마지막 오행자객인 그에게 특별한 임무가 주어진다. 신비로운 오행의 힘이 악용되는 것을 막아라!",TV 프로그램 판타지 미국 TV 프로그램 TV 프로그램 액션   어드벤처,흥미진진
배틀피시,"여름, 미국 태평양 연안 북서부의 바다가 금광으로 변신한다! 값비싼 참치 떼를 잡기 위해 배를 띄우는 어부들. 그들의 전쟁과 같은 참치잡이 현장을 실감 나게 포착한다.",과학   자연 TV 프로그램 리얼리티 TV 미국 TV 프로그램 TV 프로그램 액션   어드벤처 버라이어티 예능 리얼리티  버라이어티   토크쇼,흥미진진
데이브레이크,"세상은 끝장났지만, 인생은 이보다 좋을 수가 없다. 종말이라 즐거운 10대 소년 조시. 괴물로 변한 어른들과 난폭한 10대 패거리들을 헤집으며, 한 소녀를 찾아 헤맨다.",TV 프로그램 만화 원작 TV 프로그램 10대 TV 프로그램 코미디 TV 프로그램 호러 미국 TV 프로그램 TV 프로그램 액션   어드벤처,색다른 이야기 흥미진진
빤스맨의 위대한 모험: 우주에 가자!,조지와 해롤드를 잘 기억해 둬. 둘이 반 친구들과 사악한 교장 선생님과 함께 대단한 우주 모험을 하게 되거든. 재미있겠다고? 위험한 임무를 맡게 됐다는 것만 알려줄게.,TV 프로그램 키즈 도서 원작의 TV 프로그램 가족이 함께 보기 좋은 TV TV 프로그램 코미디 TV 프로그램 액션   어드벤처 TV 만화,위트 푼수 캐릭터
초록 달걀과 햄,"서로 참 다른 가이와 샘. 멸종 위기의 동물을 구하러 먼 길을 떠난다. 특별한 음식도 먹고, 즐거운 여행도 하고. 신나는 모험을 함께하다 보니, 어느새 친구가 되었네!",TV 프로그램 키즈 도서 원작의 TV 프로그램 가족이 함께 보기 좋은 TV TV 프로그램 코미디 TV 프로그램 액션   어드벤처 TV 만화,엉뚱 기발 가슴 뭉클 푼수 캐릭터 흥미진진
자객 오육칠,"내 이름은 7. 기억을 잃은 고독한 가위의 달인이지. 과거를 되찾으려면 거액이 들길래, 자객이 되어 돈을 벌기로 했다. 위장 직업은 헤어 스타일리스트. 자객질과 가위질을 넘나드는 고군분투를 기대해. 피바람도 각오하고.",중국 본토  TV 프로그램 TV 프로그램 코미디 TV 프로그램 액션   어드벤처,엉뚱 기발
무에타이 몽키 트윈스,아픈 과거를 간직한 파이터. 태국 전통 춤과 무예를 익힌 그가 잠입 수사 중인 경찰을 만난다. 두 남자와 범죄 조직의 전쟁. 그들은 바라던 정의를 이룰 수 있을까.,태국 TV 프로그램 TV 프로그램 액션   어드벤처,흥미진진
섀도우,"요하네스버그의 전직 형사, 섀도우. 고통스러운 과거에 시달리는 그에게 육체의 고통은 사치일 뿐이다. 법의 바깥에서 범죄에 맞서는 해결사의 활약을 그린 액션 시리즈.",TV 프로그램 액션   어드벤처,흥미진진
메디컬 폴리스,"소아과 의사였던 오언 마에스트로와 롤라 스프랫이 질병통제예방센터의 비밀 요원이 된다? 이제 복통과 골절 대신, 전 세계로 퍼지는 치명적인 바이러스를 조사해야 한다.",TV 프로그램 코미디 미국 TV 프로그램 TV 프로그램 액션   어드벤처,위트 푼수 캐릭터
